State,House,S.No.,MP Name,Constituency,District,Total Entitlement (in Crore),"Total GOI Release 
 (in Crore)",Total Release Pending (in Crore),"UnSanction Balance 
(in Crore)","UnSpent Balance
(in Crore)","Last Inst. 
No.",Last Inst. Yr.,"Last Release 
Date","Last Release
Amount
(in Crore)",Column16,Pending Inst. No & Year.,Reasons for not Release
Tamil Nadu,null,17,Shri Manickam Tagore B,VIRUDHUNAGAR,VIRUDHUNAGAR,17,7,10,-0.6,0.97,1,2021-2022,18-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,18,Shri P. Raveendranath Kumar,THENI,THENI,17,7,10,-8.29,1.01,1,2021-2022,02-08-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,19,Shri P. Velusamy,DINDIGUL,DINDIGUL,17,7,10,-4.36,0.08,1,2021-2022,23-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,20,Shri P.R. Natarajan,COIMBATORE,COIMBATORE,17,7,10,-7.15,1.7,1,2021-2022,30-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,21,Shri S. Gnanathiraviam,TIRUNELVELI,TIRUNELVELI,17,7,10,-8.66,0.3,1,2021-2022,17-10-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,22,Shri S. Jagathrakshakan,ARAKKONAM,VELLORE,17,7,10,-2.28,0.69,1,2021-2022,02-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,23,Shri S. Ramalingam,MAYILADUTHURAI,THANJAVUR,17,5,12,-9.97,0.18,2,2019-2020,06-07-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,24,Shri S. Venkatesan,MADURAI,MADURAI,17,5,12,-10.11,0.91,2,2019-2020,03-10-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,25,Shri S.R. Parthiban,SALEM,SALEM,17,9.5,7.5,-6.08,0.37,1,2022-2023,07-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,26,Shri S.S. Palanimanickam,THANJAVUR,THANJAVUR,17,7,10,-2.52,2.52,1,2021-2022,14-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,27,Shri Su Thirunavukkarasar,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,17,9.5,7.5,-1.87,0.03,1,2022-2023,31-08-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,28,Shri T.R.V.S. Ramesh,CUDDALORE,CUDDALORE,17,9.5,7.5,-1.53,0.58,1,2022-2023,19-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,29,Shri Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,KANCHIPURAM,17,7,10,-6.63,1.13,1,2021-2022,09-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,30,Shri Thirumaa Valavan Thol,CHIDAMBARAM(SC),ARIYALUR,17,9.5,7.5,-1.35,0.2,1,2022-2023,10-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,31,SHRI. D Ravikumar,VILUPPURAM(SC),VILLUPURAM,17,9.5,7.5,-2.25,1.74,1,2022-2023,02-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,32,SHRI. Dayanidhi Maran,CHENNAI CENTRAL,CHENNAI,17,7,10,-8.06,0.18,1,2021-2022,29-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,33,SHRI. DM Kathir Anand,VELLORE,VELLORE,14.5,7,7.5,0.42,1.38,1,2022-2023,18-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,34,SHRI. Karti P Chidambaram,SIVAGANGA,SIVAGANGA,17,7,10,-3.47,0.05,1,2021-2022,29-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,35,SHRI. M Selvaraj,NAGAPATTINAM(SC),THIRUVARUR,17,9.5,7.5,-3.86,1.14,1,2022-2023,15-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,36,SHRI. Vijayakumar alias Vijay Vasanth,KANNIYAKUMARI,KANNIYAKUMARI,24,2,22,-4.71,0.24,1,2021-2022,05-08-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tamil Nadu,null,37,Smt S. Jothimani,KARUR,KARUR,17,9.5,7.5,-3.08,0.18,1,2022-2023,30-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,38,Smt. Kanimozhi Karunanidhi,THOOTHUKKUDI,TUTICORIN,17,7,10,-6.75,0.55,1,2021-2022,16-12-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Tamil Nadu,null,39,Smt. T. Sumathy (A) Thamizhachi Thangapandian,CHENNAI SOUTH,CHENNAI,17,7,10,-6.61,2.28,1,2021-2022,28-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Telangana,8,1,Dr. Gaddam Ranjith Reddy,CHELVELLA,RANGAREDDY,17,7,10,-3.72,2.38,1,2021-2022,13-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,2,Shri Anumula Revanth Reddy,MALKAJGIRI,MEDCHAL MALKAJGIRI,17,7,10,0.79,2.72,1,2021-2022,20-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,3,Shri Arvind Dharmapuri,NIZAMABAD,NIZAMABAD,17,5,12,-10.71,0.99,2,2019-2020,24-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,4,Shri Asaduddin Owaisi,HYDERABAD,HYDERABAD,19.5,7,12.5,-3.62,1.18,1,2021-2022,26-12-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2018-2019,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,5,Shri Bheemrao Baswanthrao Patil,ZAHIRABAD,Kamarreddy,17,7,10,-0.58,2.84,1,2021-2022,29-08-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,6,Shri Dayakar Pasunoori,WARANGEL(SC),Hanumakonda,17,7,10,-2.62,1.83,1,2021-2022,17-08-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,7,Shri Kishan Reddy Gangapuram,SECUNDERABAD,HYDERABAD,17,7,10,-6.95,2.43,1,2021-2022,21-12-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,8,Shri Kotha Prabhakar Reddy,MEDAK,SANGAREDDY,17,7,10,-9.41,1.32,1,2021-2022,30-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,9,Shri Manne Srinivas Reddy,MAHABUBNAGAR,MAHBUBNAGAR,19.5,7,12.5,-5.04,0,1,2021-2022,28-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2018-2019,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,10,Shri Nama Nageswara Rao,KHAMMAM,KHAMMAN,17,7,10,0.68,2.84,1,2021-2022,30-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,11,Shri Ramulu Pothuganti,NAGARKURNOOL(SC),NAGARKURNOOL,17,9.5,7.5,-1.97,1,1,2022-2023,30-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Telangana,null,12,Shri Sanjay Kumar Bandi,KARIMNAGAR,KARIMNAGAR,17,5,12,-4.27,0.2,2,2019-2020,27-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,13,Shri Uttam Kumar Nalamada Reddy,NALGONDA,Suryapet,17,7,10,-2.18,2.43,1,2021-2022,25-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,14,Shri Venkatesh Netha Borlakunta,PEDDAPALLE,Mancherial,17,7,10,0.61,2.11,1,2021-2022,14-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,15,SHRI. Komati Reddy Venkat Reddy,BHONGIR,Yadadri Bhuvanagiri,17,7,10,0.12,0.37,1,2021-2022,23-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Telangana,null,16,SHRI. Soyam Babu Rao,ADILABAD(ST),ADILABAD,17,9.5,7.5,0.07,2.95,1,2022-2023,13-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Telangana,null,17,Smt. Kavitha Malothu,MAHABUBABAD,MAHABUBABAD,17,7,10,0.26,1.81,1,2021-2022,28-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tripura,8,1,Ms Pratima Bhoumik,TRIPURA WEST,WEST TRIPURA,17,5,12,0.18,2.62,2,2019-2020,23-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Tripura,null,2,Shri Rebati Tripura,TRIPURA EAST(ST),DHALAI DISTRICT,34.5,24.5,10,16.58,17.72,2,2015-2016,04-11-2022,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,8,1,General Dr.Vijay Kumar Singh Retd.,GHAZIABAD,GHAZIABAD,17,9.5,7.5,-0.06,3.82,1,2022-2023,30-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,2,Haji Fazlur Rehman,SAHARANPUR,SAHARANPUR,17,9.5,7.5,0.46,1.83,1,2022-2023,17-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,3,Dr Chandra Sen Jadon,FIROZABAD,FIROZABAD,17,12,5,0.03,0.67,2,2022-2023,15-02-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,4,Dr Ramesh Chand Bind,BHADOHI,Bhadohi,17,9.5,7.5,0.86,1.39,1,2022-2023,30-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,5,Dr. Mahendra Nath Pandey,CHANDAULI,CHANDAULI,17,9.5,7.5,0.89,0.89,1,2022-2023,17-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,6,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,GAUTAMBUDHNAGAR,17,9.5,7.5,0.38,0.93,1,2022-2023,31-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,7,Dr. Sanghamitra Maurya,BADAUN,BUDAUN,17,9.5,7.5,0.39,2.53,1,2022-2023,21-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,8,Dr. Sanjeev Kumar Balyan,MUZAFFARNAGAR,MUZAFFARNAGAR,17,12,5,0.08,2.26,2,2022-2023,07-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,9,Dr. Satya Pal Singh,BAGHPAT,BAGHPAT,17,7,10,-2.13,2.97,1,2021-2022,30-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Uttar Pradesh,null,10,Dr. Seyed Tufail Hasan,MORADABAD,MORADABAD,17,12,5,0.46,1.66,2,2022-2023,27-01-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,11,Dr. Swami Sachchidanandhari Sakshi ji Maharaj,UNNAO,UNNAO,24.5,14.5,10,0.06,2.54,2,2018-2019,30-01-2023,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,12,Kunwar Pushpendra Singh Chandel,HAMIRPUR,MAHOBA,24.5,14.5,10,0.03,0.95,2,2018-2019,28-11-2022,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,13,Prof. Dr. Ram Shankar Katheria,ETAWAH(SC),ETAWAH,17,9.5,7.5,0.89,1.77,1,2022-2023,12-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,14,Prof. Rita Bahuguna Joshi,ALLAHABAD,ALLAHABAD,17,9.5,7.5,0.94,2.88,1,2022-2023,29-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,15,Prof. S.P. Singh Baghel,AGRA(SC),AGRA,17,12,5,0.07,1.07,2,2022-2023,29-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,16,Shri Afzal Ansari,GHAZIPUR,GHAZIPUR,17,9.5,7.5,0.77,2.21,1,2022-2023,31-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,17,Shri Ajay (Teni) Misra,KHERI,KHERI,17,12,5,0.01,0.14,2,2022-2023,28-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,18,Shri Akhilesh Yadav-Ex,AZAMGARH,AZAMGARH,12,7,5,2.34,2.87,1,2021-2022,27-05-2022,2,null,1 / 2023-2024,
Uttar Pradesh,null,19,Shri Akshaibar Lal,BAHRAICH(SC),BAHRAICH,29.5,19.5,10,0.07,2.9,2,2018-2019,27-09-2022,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,20,Shri Anurag Sharma,JHANSI,JHANSI,17,7,10,0.65,2.27,1,2021-2022,06-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,21,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),SHAHJAHANPUR,17,9.5,7.5,0,0,1,2022-2023,28-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Uttar Pradesh,null,22,Shri Ashok Kumar Rawat,MISRIKH(SC),HARDOI,17,9.5,7.5,0.6,2.03,1,2022-2023,20-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,23,Shri Atul Kumar Singh,GHOSI,MAU,17,7,10,0.75,1.33,1,2021-2022,31-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,24,Shri B.P. Saroj Bholanath,MACHHLISHAHR(SC),JAUNPUR,17,12,5,0.32,2.06,2,2022-2023,14-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,25,Shri Bhanu Pratap Singh Verma,JALAUN(SC),JALAUN,24.5,14.5,10,0.07,1.29,2,2018-2019,02-03-2023,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Uttar Pradesh,null,26,Shri Brijbhushan Sharan Singh,KAISERGANJ,GONDA,19.5,12,7.5,0.35,0.35,1,2022-2023,21-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,27,Shri Danish Ali Kunwar,AMROHA,JYOTIBA PHOLENAGAR,17,9.5,7.5,0.21,0.66,1,2022-2023,30-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,28,Shri Devendra alias Bhole Singh,AKBARPUR,KANPUR NAGAR,17,9.5,7.5,0.22,1.96,1,2022-2023,27-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,29,Shri Dharmendra Kumar Kashyap,AONLA,BAREILLY,19.5,12,7.5,0.32,1.67,2,2018-2019,16-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,30,Shri Dinesh Lal Yadav(Nirahua),AZAMGARH,AZAMGARH,10,5,5,-0.02,0.97,2,2022-2023,24-11-2022,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,31,Shri Feroze Varun Gandhi,PILIBHIT,PILIBHIT,17,9.5,7.5,0.37,0.89,1,2022-2023,07-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,32,Shri Ghanshyam Singh Lodhi,RAMPUR,RAMPUR,14.5,9.5,5,0.09,1.95,1,2021-2022,25-03-2023,2,null,1 / 2023-2024,
Uttar Pradesh,null,33,Shri Girish Chandra,NAGINA(SC),BIJNORE,17,9.5,7.5,0.45,1.52,1,2022-2023,21-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,34,Shri Harish Dwivedi,BASTI,BASTI,17,5,12,-5.89,0.13,2,2019-2020,22-03-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,35,Shri Jagdambika Pal,DOMARIYAGANJ,SIDDHARTH NAGAR,17,7,10,0.82,1.99,1,2021-2022,28-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,36,Shri Jai Prakash,HARDOI (SC),HARDOI,17,9.5,7.5,0.67,2.14,1,2022-2023,20-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,37,Shri Kamlesh Paswan,BANSGAON(SC),GORAKHPUR,17,9.5,7.5,0.55,2.1,1,2022-2023,17-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,38,Shri Kaushal Kishore,MOHANLALGANJ(SC),LUCKNOW,17,12,5,0.09,1.93,2,2022-2023,28-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,39,Shri Kirti Vardhan Singh,GONDA,GONDA,22,12,10,0.71,0.89,1,2021-2022,13-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,40,Shri Lallu Singh,FAIZABAD,FAIZABAD,17,9.5,7.5,0.19,0.23,1,2022-2023,28-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Uttar Pradesh,null,41,Shri Malook Nagar,BIJNOR,BIJNORE,17,7,10,0.95,2.88,1,2021-2022,25-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,42,Shri Mohammad Azam Khan-ex,RAMPUR,RAMPUR,7.5,2.5,5,0.58,0.58,1,2019-2020,13-11-2019,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,43,Shri Mukesh Rajput,FARRUKHABAD,FARRUKHABAD,17,9.5,7.5,0.06,0.64,1,2022-2023,20-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,44,Shri Mulayam Singh Yadav,MAINPURI,MAINPURI,17,7,10,0.34,1.21,1,2021-2022,22-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Uttar Pradesh,null,45,Shri Narendra Modi,VARANASI,VARANASI,19.5,7,12.5,0.37,0.43,1,2021-2022,25-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2018-2019,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,46,Shri Pakauri Lal,ROBERTSGANJ(SC),SONBHADRA,17,12,5,-0.64,1.59,2,2022-2023,14-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,47,Shri Pankaj Chowdhary,MAHARAJGANJ,MAHRAJGANJ,17,9.5,7.5,0,0.4,1,2022-2023,27-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,48,Shri Pradeep Kumar Chaudhary,KAIRANA,SHAMLI,17,9.5,7.5,0.01,0.62,1,2022-2023,31-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,49,Shri Praveen Kumar Nishad,SANT KABIR NAGAR,SANT KABIR NAGAR,17,7,10,0.96,2.5,1,2021-2022,30-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,50,Shri R.K. Singh Patel,BANDA,CHITRAKOOT,17,9.5,7.5,0.16,0.83,1,2022-2023,28-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,51,Shri Rajendra Agrawal,MEERUT,MEERUT,17,9.5,7.5,0.08,1.18,1,2022-2023,24-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,52,Shri Rajesh Verma,SITAPUR,SITAPUR,17,9.5,7.5,0.06,2.82,1,2022-2023,20-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,53,Shri Rajkumar Chahar,FATEHPUR SIKRI,AGRA,17,12,5,0.01,0.87,2,2022-2023,28-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,54,Shri Rajnath Singh,LUCKNOW,LUCKNOW,17,12,5,0.58,2.43,2,2022-2023,29-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,55,Shri Rajveer Diler,HATHRAS (SC),HATHRAS,17,9.5,7.5,0.32,0.65,1,2022-2023,21-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,56,Shri Rajveer Raju Bhaiya Singh,ETAH,Kasganj (KANSHIRAM NAGAR),17,9.5,7.5,-0.04,0.64,1,2022-2023,07-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,57,Shri Ramapati Ram Tripathi,DEORIA,DEORIA,17,9.5,7.5,0.43,0.72,1,2022-2023,30-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,58,Shri Ravindra Kushawaha,SALEMPUR,BALLIA,17,7,10,0.21,1.63,1,2021-2022,23-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,59,Shri Ravindra Shyamnarayan alias Ravi Kishan Shukla,GORAKHPUR,GORAKHPUR,17,9.5,7.5,0.19,2.53,1,2022-2023,30-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,60,Shri Ritesh Pandey,AMBEDKAR NAGAR,AMBEDKARNAGAR,17,9.5,7.5,0.04,2.43,1,2022-2023,12-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,61,Shri Sangam Lal Gupta,PRATAPGARH,PRATAPGARH,17,9.5,7.5,0.4,2.25,1,2022-2023,24-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,62,Shri Santosh Kumar Gangwar,BAREILLY,BAREILLY,19.5,12,7.5,0.1,1.92,2,2018-2019,16-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,63,Shri Satish Kumar Gautam,ALIGARH,ALIGARH,17,12,5,0.03,0.32,2,2022-2023,30-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,64,Shri Satyadev Pachauri,KANPUR,KANPUR NAGAR,17,12,5,0.1,1.67,2,2022-2023,03-01-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,65,Shri Shafiqur Rahman Barq,SAMBHAL,BHIMNAGAR(Sambhal),17,12,5,0.96,2.19,2,2022-2023,30-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,66,Shri Subrata Pathak,KANNAUJ,KANNAUJ,17,9.5,7.5,0.42,1.96,1,2022-2023,24-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,67,Shri Upendra Singh Rawat,BARABANKI(SC),BARABANKI,19.5,12,7.5,0.51,2.56,2,2018-2019,03-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,68,Shri Vijay Kumar Dubey,KUSHI NAGAR,KUSHINAGAR (Padrauna),17,12,5,0.34,1.37,2,2022-2023,27-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,69,Shri Vinod Kumar Sonkar,KAUSHAMBI(SC),KAUSHAMBI,17,12,5,0.27,1.46,2,2022-2023,28-03-2023,2.5,null,1 / 2023-2024,
